year,indicator_code,indicator_name,category,value
2023,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,3.14009099763754
2022,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,3.80484980952164
2021,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,5.07646643533542
2020,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,0.513941670628171
2019,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,6.5077747939152
2018,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,6.20007768127284
2017,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,8.12889488100956
2016,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,3.37346574966936
2015,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,2.12075933817334
2014,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,2.85624016330883
2013,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,7.31252501678145
2012,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,9.2927894063005
2011,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,14.0471235803149
2010,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,7.89971194051621
2009,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,4.84448705175076
2008,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,9.14979893831817
2007,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,4.34681910440079
2006,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,6.39991260618034
2005,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,5.90000381855104
2004,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,5.59999999077445
2003,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,5.200000133101
2002,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,4.49999955900331
2001,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,4.00000012807919
2000,NY.GDP.MKTP.KD.ZG,gdp_growth_rate,growth,3.70000008164408
2023,PA.NUS.FCRF,exchange_rate_usd,monetary,11.0204083333333
2022,PA.NUS.FCRF,exchange_rate_usd,monetary,8.2724
2021,PA.NUS.FCRF,exchange_rate_usd,monetary,5.8057
2020,PA.NUS.FCRF,exchange_rate_usd,monetary,5.59570833333333
2019,PA.NUS.FCRF,exchange_rate_usd,monetary,5.21736666666667
2018,PA.NUS.FCRF,exchange_rate_usd,monetary,4.585325
2017,PA.NUS.FCRF,exchange_rate_usd,monetary,4.35053333333333
2016,PA.NUS.FCRF,exchange_rate_usd,monetary,3.90981666666667
2015,PA.NUS.FCRF,exchange_rate_usd,monetary,3.71464166666667
2014,PA.NUS.FCRF,exchange_rate_usd,monetary,2.896575
2013,PA.NUS.FCRF,exchange_rate_usd,monetary,1.98135
2012,PA.NUS.FCRF,exchange_rate_usd,monetary,1.82486666666667
2011,PA.NUS.FCRF,exchange_rate_usd,monetary,1.520625
2010,PA.NUS.FCRF,exchange_rate_usd,monetary,1.42998333333333
2009,PA.NUS.FCRF,exchange_rate_usd,monetary,1.40496666666667
2008,PA.NUS.FCRF,exchange_rate_usd,monetary,1.052275
2007,PA.NUS.FCRF,exchange_rate_usd,monetary,0.932619195
2006,PA.NUS.FCRF,exchange_rate_usd,monetary,0.915106799166667
2005,PA.NUS.FCRF,exchange_rate_usd,monetary,0.905209485833333
2004,PA.NUS.FCRF,exchange_rate_usd,monetary,0.899494854007063
2003,PA.NUS.FCRF,exchange_rate_usd,monetary,0.866764326525345
2002,PA.NUS.FCRF,exchange_rate_usd,monetary,0.792417084313167
2001,PA.NUS.FCRF,exchange_rate_usd,monetary,0.716305157808996
2000,PA.NUS.FCRF,exchange_rate_usd,monetary,0.544919175868766
